                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0699,                 3.7624,                 1.1641,                0.01462,                0.78057,                0.13015,                 0.0937,                0.71758,                 3.5273,                0.91046,                0.00013,                0.00013,                0.00013
                      2,                0.99417,                 2.7573,                 1.0856,                0.70045,                0.07087,                0.25628,                0.19076,                0.73888,                  2.954,                0.89608,             0.00026947,             0.00026947,             0.00026947
                      3,                0.94687,                  2.074,                 1.0798,                 0.7313,                0.10497,                0.39005,                 0.3048,                0.73602,                 2.7682,                0.92653,             0.00040838,             0.00040838,             0.00040838
                      4,                0.89597,                 1.6382,                 1.0499,                0.77535,                0.16306,                0.54592,                0.42451,                0.76153,                 2.7144,                0.96213,             0.00054673,             0.00054673,             0.00054673
                      5,                0.88422,                 1.4545,                  1.043,                0.86273,                0.33914,                0.66364,                0.54412,                0.72751,                 2.3632,                0.95909,             0.00068454,             0.00068454,             0.00068454
                      6,                0.84662,                 1.3427,                 1.0329,                 0.6898,                0.41713,                0.62219,                0.51379,                0.72656,                 2.3322,                 0.9439,             0.00082178,             0.00082178,             0.00082178
                      7,                0.81104,                 1.2082,                 1.0065,                0.69495,                0.57354,                0.71721,                0.58404,                0.73089,                   1.99,                0.95944,             0.00095848,             0.00095848,             0.00095848
                      8,                0.82357,                 1.1959,                 1.0235,                0.76898,                0.63814,                0.79526,                0.66295,                0.67585,                 1.4666,                0.92774,             0.00098614,             0.00098614,             0.00098614
                      9,                0.79957,                 1.1027,                 1.0021,                0.73059,                0.74162,                0.79987,                0.65178,                 0.7083,                 1.4097,                0.94453,             0.00098614,             0.00098614,             0.00098614
                     10,                0.81075,                 1.0843,                 1.0096,                0.64993,                0.54317,                0.64607,                0.51398,                0.78132,                 2.1133,                0.99461,             0.00098416,             0.00098416,             0.00098416
                     11,                0.79766,                 1.0341,                 1.0082,                0.82344,                0.67699,                0.77425,                0.62171,                0.79201,                 1.5031,                 1.0108,             0.00098218,             0.00098218,             0.00098218
                     12,                0.78194,                0.98544,                0.99398,                0.86308,                0.73198,                0.85057,                0.72214,                0.66083,                 1.2091,                0.94694,              0.0009802,              0.0009802,              0.0009802
                     13,                0.76307,                0.93544,                 1.0006,                0.89391,                0.76332,                0.89116,                0.76004,                0.63526,                 1.0365,                0.94309,             0.00097822,             0.00097822,             0.00097822
                     14,                0.77571,                0.93421,                0.99616,                0.93198,                0.77505,                0.91502,                0.76138,                0.66469,                0.89953,                0.94409,             0.00097624,             0.00097624,             0.00097624
                     15,                 0.7551,                0.86864,                0.98254,                0.85996,                0.71564,                0.87376,                0.74495,                0.62341,                 1.0936,                0.92863,             0.00097426,             0.00097426,             0.00097426
                     16,                0.73501,                0.86276,                0.97966,                0.89057,                0.86619,                0.91097,                0.77325,                0.62526,                 0.8051,                0.90938,             0.00097228,             0.00097228,             0.00097228
                     17,                0.74842,                0.83389,                0.97088,                0.94979,                0.85597,                 0.9393,                0.83203,                0.54197,                 0.7438,                  0.886,              0.0009703,              0.0009703,              0.0009703
                     18,                0.72176,                0.80999,                0.97863,                0.92197,                 0.8509,                 0.9072,                  0.772,                0.59021,                0.92894,                0.89901,             0.00096832,             0.00096832,             0.00096832
                     19,                0.73923,                0.81109,                0.97651,                 0.9423,                0.83755,                0.92691,                0.79296,                0.61317,                0.81304,                0.90478,             0.00096634,             0.00096634,             0.00096634
                     20,                0.69684,                0.77295,                0.95582,                0.91977,                0.85442,                0.92877,                0.80589,                0.58539,                0.75663,                0.89675,             0.00096436,             0.00096436,             0.00096436
                     21,                0.70341,                0.78956,                0.96948,                0.93507,                0.83975,                0.91775,                0.78958,                0.58044,                0.71947,                0.90258,             0.00096238,             0.00096238,             0.00096238
                     22,                0.70575,                0.75815,                0.96323,                 0.8956,                0.85612,                0.91818,                0.80044,                0.58027,                0.69786,                0.89051,              0.0009604,              0.0009604,              0.0009604
                     23,                0.70078,                0.74682,                0.96377,                0.88954,                 0.8456,                0.92355,                0.79237,                0.57664,                0.73992,                0.90228,             0.00095842,             0.00095842,             0.00095842
                     24,                0.69394,                0.75102,                 0.9613,                 0.8909,                 0.8582,                0.92101,                0.79687,                0.55192,                0.71527,                0.89977,             0.00095644,             0.00095644,             0.00095644
                     25,                0.67992,                0.73513,                0.95535,                 0.9466,                 0.8575,                0.92988,                0.79985,                0.60449,                0.68151,                0.90617,             0.00095446,             0.00095446,             0.00095446
                     26,                0.67961,                0.70109,                0.94943,                0.90307,                 0.8799,                0.93897,                0.80923,                0.57628,                0.66493,                0.91339,             0.00095248,             0.00095248,             0.00095248
                     27,                0.67908,                0.69973,                0.95435,                 0.9173,                0.84195,                0.92833,                0.81121,                0.55522,                0.68043,                0.89618,              0.0009505,              0.0009505,              0.0009505
                     28,                0.67395,                0.68732,                0.95229,                 0.9571,                0.86967,                0.94664,                0.82452,                0.55422,                0.61262,                0.89763,             0.00094852,             0.00094852,             0.00094852
                     29,                0.67143,                0.68194,                0.95463,                0.86336,                0.87455,                0.91357,                  0.805,                0.54641,                0.71725,                0.89401,             0.00094654,             0.00094654,             0.00094654
                     30,                0.65751,                0.67567,                0.94799,                0.92702,                 0.8618,                0.94189,                0.80597,                0.57133,                0.63103,                0.89914,             0.00094456,             0.00094456,             0.00094456
                     31,                0.66447,                0.66914,                0.94686,                0.90877,                0.84898,                0.91734,                0.80188,                0.54292,                0.75475,                0.88986,             0.00094258,             0.00094258,             0.00094258
                     32,                0.66078,                0.65915,                0.94822,                0.87006,                0.83656,                0.91481,                0.79158,                0.55247,                0.79873,                0.90322,              0.0009406,              0.0009406,              0.0009406
                     33,                0.66583,                0.66216,                0.95288,                 0.9659,                0.86074,                0.95639,                 0.8306,                 0.5363,                0.57818,                0.88812,             0.00093862,             0.00093862,             0.00093862
                     34,                0.65704,                 0.6325,                0.93965,                0.95166,                0.87234,                0.93746,                0.81409,                0.55894,                0.61962,                 0.8838,             0.00093664,             0.00093664,             0.00093664
                     35,                 0.6621,                0.63304,                0.94516,                0.94141,                0.83567,                0.92387,                0.81159,                0.56248,                 0.6296,                0.88789,             0.00093466,             0.00093466,             0.00093466
                     36,                0.65841,                0.63684,                 0.9446,                0.93044,                0.83005,                0.92582,                0.80065,                0.53838,                0.63702,                0.88864,             0.00093268,             0.00093268,             0.00093268
                     37,                0.65163,                0.61857,                0.94303,                 0.9689,                 0.8598,                0.94683,                0.80842,                0.59432,                0.56748,                 0.8942,              0.0009307,              0.0009307,              0.0009307
                     38,                0.66011,                0.61602,                0.94969,                0.93084,                0.89736,                0.94933,                0.82494,                0.56646,                0.57096,                0.90253,             0.00092872,             0.00092872,             0.00092872
                     39,                0.63826,                 0.6102,                0.93745,                0.96716,                0.86712,                0.95676,                 0.8507,                0.50354,                0.52659,                 0.8654,             0.00092674,             0.00092674,             0.00092674
                     40,                0.63803,                0.59523,                0.94334,                0.91047,                0.89113,                0.94215,                0.83272,                0.50261,                0.59107,                0.87842,             0.00092476,             0.00092476,             0.00092476
                     41,                0.64028,                0.61342,                0.93825,                 0.9249,                0.89095,                0.95113,                0.82957,                0.52254,                0.60911,                0.87145,             0.00092278,             0.00092278,             0.00092278
                     42,                0.61608,                0.59464,                0.93042,                 0.9468,                0.85916,                0.94076,                0.83024,                 0.5243,                0.61915,                0.88468,              0.0009208,              0.0009208,              0.0009208
