                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.65344,                0.63365,                0.94445,                0.90872,                0.84914,                0.91522,                0.79744,                 0.5591,                0.65884,                0.89357,              0.0008878,              0.0008878,              0.0008878
                     37,                 0.6401,                0.61563,                0.93806,                0.92124,                0.88354,                0.94184,                0.81961,                0.56153,                0.61507,                0.89045,              0.0008845,              0.0008845,              0.0008845
                     38,                0.64238,                0.61018,                0.94841,                0.88093,                0.81841,                0.89704,                0.78467,                0.54154,                0.75745,                 0.8867,              0.0008812,              0.0008812,              0.0008812
                     39,                0.62931,                0.59478,                0.93383,                0.92138,                0.92452,                0.95948,                0.84833,                0.52237,                0.53712,                0.87453,              0.0008779,              0.0008779,              0.0008779
                     40,                 0.6261,                0.58846,                0.94302,                0.91751,                0.90571,                 0.9464,                0.83779,                  0.519,                0.60081,                0.87892,              0.0008746,              0.0008746,              0.0008746
                     41,                0.63878,                0.60363,                0.93825,                0.94623,                0.89326,                0.96173,                0.84602,                0.51484,                0.54298,                0.87914,              0.0008713,              0.0008713,              0.0008713
                     42,                0.61248,                0.58998,                0.93054,                0.94115,                0.90457,                0.95949,                0.85066,                0.50713,                 0.5498,                0.87101,               0.000868,               0.000868,               0.000868
                     43,                0.63442,                0.58796,                0.93137,                0.94339,                0.91411,                0.95692,                0.84375,                0.51635,                 0.5625,                0.86322,              0.0008647,              0.0008647,              0.0008647
                     44,                0.62687,                0.57325,                0.92986,                0.95191,                0.87413,                0.95285,                 0.8394,                0.53731,                0.58036,                0.89192,              0.0008614,              0.0008614,              0.0008614
                     45,                0.62458,                 0.5634,                0.92833,                0.93331,                0.89365,                0.95721,                0.84915,                0.51141,                0.54219,                0.88035,              0.0008581,              0.0008581,              0.0008581
                     46,                0.61032,                0.55537,                0.93112,                0.95725,                0.92071,                0.97012,                0.85457,                0.52265,                0.51911,                0.87422,              0.0008548,              0.0008548,              0.0008548
                     47,                0.60442,                0.54458,                0.92544,                0.95632,                0.89652,                0.96001,                0.83882,                0.54746,                0.47138,                0.88932,              0.0008515,              0.0008515,              0.0008515
                     48,                0.61478,                0.55645,                0.92694,                0.94243,                0.93784,                0.95952,                 0.8396,                0.53658,                0.49463,                0.88061,              0.0008482,              0.0008482,              0.0008482
                     49,                0.62432,                0.55069,                0.92273,                0.95916,                0.90555,                0.96103,                0.84934,                0.52392,                0.48139,                0.88154,              0.0008449,              0.0008449,              0.0008449
                     50,                0.61161,                0.56034,                0.92694,                0.94734,                0.90027,                0.95912,                0.84801,                0.50634,                0.50407,                0.87183,              0.0008416,              0.0008416,              0.0008416
                     51,                0.60086,                0.55289,                0.92768,                0.92762,                0.88677,                0.94705,                0.83929,                0.48476,                0.51734,                 0.8672,              0.0008383,              0.0008383,              0.0008383
