                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2185,                 3.3173,                 1.2262,                0.22283,                0.12929,                0.07456,                0.03643,                 1.3176,                 3.3037,                 1.3202,                 0.0883,                 0.0013,                 0.0013
                      2,                 1.2472,                 2.3243,                 1.2819,                 0.3352,                0.02315,                0.00172,                0.00051,                 3.1144,                    inf,                 7.3202,               0.075696,              0.0026964,              0.0026964
                      3,                 1.2712,                 1.9577,                 1.3033,                0.00026,                  0.045,                0.00016,                  4e-05,                 3.2161,                    inf,                 6.5798,               0.063089,              0.0040892,              0.0040892
                      4,                  1.238,                 1.7347,                 1.2878,                0.16843,                 0.1013,                  0.001,                0.00024,                 3.9054,                    inf,                  11.66,               0.050478,              0.0054782,              0.0054782
                      5,                  1.221,                 1.6274,                   1.29,                0.00037,                0.05556,                0.00027,                  6e-05,                 3.5549,                    inf,                 5.0969,               0.037864,              0.0068636,              0.0068636
                      6,                 1.1883,                 1.5859,                 1.2705,                0.32767,                0.23945,                0.07126,                0.04971,                 2.7648,                    inf,                 3.4492,               0.025245,              0.0082452,              0.0082452
                      7,                 1.1322,                 1.4726,                 1.2299,                0.22414,                0.23659,                 0.1098,                0.06524,                 1.6418,                  8.547,                 2.2819,               0.012623,              0.0096232,              0.0096232
                      8,                 1.1733,                 1.4834,                 1.2753,                0.17655,                0.21882,                0.09121,                0.04753,                 1.7158,                 15.701,                 1.9528,              0.0099076,              0.0099076,              0.0099076
                      9,                 1.1205,                 1.3903,                 1.2232,                 0.2725,                 0.3265,                0.22999,                0.14868,                 1.4274,                 7.7339,                 1.7815,              0.0099076,              0.0099076,              0.0099076
                     10,                  1.093,                 1.3746,                 1.2187,                0.08261,                0.14882,                0.03207,                0.01345,                 2.1221,                 24.765,                 2.6428,              0.0098944,              0.0098944,              0.0098944
                     11,                 1.0889,                 1.3001,                 1.2238,                 0.2887,                0.28311,                0.12885,                0.06856,                 1.6555,                 11.963,                 1.9757,              0.0098812,              0.0098812,              0.0098812
                     12,                 1.0293,                 1.2338,                 1.1755,                0.54845,                0.34283,                0.33141,                0.20684,                 1.4902,                 7.5189,                 1.6857,               0.009868,               0.009868,               0.009868
                     13,                 1.0309,                  1.223,                 1.1912,                0.45035,                0.37566,                0.32113,                0.21768,                 1.2461,                 4.6309,                 1.4581,              0.0098548,              0.0098548,              0.0098548
                     14,                 1.0316,                 1.1722,                 1.1733,                0.57349,                0.51861,                0.50619,                0.34228,                 1.1435,                 2.5362,                 1.3524,              0.0098416,              0.0098416,              0.0098416
                     15,                0.99473,                 1.1085,                 1.1378,                0.66628,                0.58347,                0.60992,                0.44818,                 1.0007,                 2.1373,                 1.2222,              0.0098284,              0.0098284,              0.0098284
                     16,                  1.004,                 1.1079,                 1.1686,                0.63308,                0.55131,                0.60829,                 0.4523,                0.98208,                 1.8827,                 1.2272,              0.0098152,              0.0098152,              0.0098152
                     17,                 1.0058,                  1.119,                  1.153,                0.54986,                0.47312,                0.50196,                0.38663,                0.98119,                  3.189,                 1.2309,               0.009802,               0.009802,               0.009802
                     18,                 0.9423,                 1.0319,                 1.1399,                0.46669,                 0.5434,                0.47892,                0.35957,                 1.0513,                 3.1453,                 1.2929,              0.0097888,              0.0097888,              0.0097888
                     19,                0.97093,                 1.0591,                 1.1376,                0.74803,                 0.5253,                0.61473,                0.48047,                0.88666,                 1.9748,                 1.1515,              0.0097756,              0.0097756,              0.0097756
                     20,                0.93777,                  1.022,                 1.1189,                0.77994,                0.56121,                0.67671,                0.53119,                0.91698,                 1.8313,                 1.1625,              0.0097624,              0.0097624,              0.0097624
                     21,                0.93377,                 1.0127,                 1.1352,                0.71846,                0.69539,                0.79538,                0.63292,                 0.8096,                 1.2135,                 1.0758,              0.0097492,              0.0097492,              0.0097492
                     22,                0.89903,                0.94921,                 1.1015,                0.75724,                0.69208,                0.76781,                0.61299,                0.83731,                 1.0587,                 1.0921,               0.009736,               0.009736,               0.009736
                     23,                0.88966,                 0.9381,                 1.0919,                0.77538,                0.66973,                0.78872,                0.64417,                 0.7967,                 1.2816,                 1.0714,              0.0097228,              0.0097228,              0.0097228
                     24,                0.91785,                0.99374,                 1.1243,                0.80669,                0.75476,                0.82409,                 0.6607,                 0.7683,                 1.0089,                 1.0577,              0.0097096,              0.0097096,              0.0097096
                     25,                0.88542,                0.94713,                 1.0997,                0.77521,                0.67663,                0.76096,                0.61859,                0.81998,                 1.3784,                 1.0942,              0.0096964,              0.0096964,              0.0096964
                     26,                0.86849,                0.91579,                 1.0854,                0.71008,                0.67657,                0.73222,                0.58456,                0.82511,                 1.5491,                 1.1031,              0.0096832,              0.0096832,              0.0096832
                     27,                0.88628,                0.91472,                 1.0956,                0.76279,                0.71107,                0.79778,                0.61931,                0.85069,                 1.3698,                 1.0942,                0.00967,                0.00967,                0.00967
                     28,                0.86545,                0.90829,                 1.0844,                0.94929,                0.81389,                0.91931,                0.75482,                0.71628,                0.71695,                0.99602,              0.0096568,              0.0096568,              0.0096568
                     29,                0.86981,                0.87744,                  1.081,                0.88755,                0.72952,                0.87034,                0.70306,                0.74739,                0.85717,                 1.0157,              0.0096436,              0.0096436,              0.0096436
                     30,                0.86086,                0.88908,                 1.0796,                0.74335,                0.68514,                0.75809,                0.59918,                0.79315,                 1.1542,                 1.0788,              0.0096304,              0.0096304,              0.0096304
                     31,                0.84103,                0.85668,                 1.0697,                 0.8656,                0.77638,                0.88851,                0.74366,                0.70058,                0.80858,                0.98853,              0.0096172,              0.0096172,              0.0096172
                     32,                0.84843,                0.86829,                 1.0717,                0.89457,                0.76237,                0.90155,                0.75096,                0.71354,                0.81205,                 1.0042,               0.009604,               0.009604,               0.009604
                     33,                0.83205,                0.83491,                 1.0728,                0.84964,                0.80946,                0.86494,                0.70094,                0.76002,                0.83712,                 1.0371,              0.0095908,              0.0095908,              0.0095908
                     34,                0.82437,                0.80246,                 1.0558,                0.90726,                0.77574,                 0.9054,                0.73735,                0.75696,                0.77619,                 1.0303,              0.0095776,              0.0095776,              0.0095776
                     35,                0.84237,                0.81213,                 1.0604,                0.86119,                0.83833,                0.89508,                0.72116,                0.71785,                0.78781,                 1.0187,              0.0095644,              0.0095644,              0.0095644
                     36,                0.83309,                  0.836,                 1.0687,                0.64509,                0.62562,                0.66563,                0.50673,                0.93093,                 1.6673,                 1.1896,              0.0095512,              0.0095512,              0.0095512
                     37,                 0.8345,                0.81752,                 1.0616,                0.80885,                 0.7103,                0.80256,                0.64812,                 0.7801,                 1.1036,                 1.0528,               0.009538,               0.009538,               0.009538
                     38,                0.82804,                0.79808,                 1.0655,                 0.7749,                0.79778,                0.84198,                0.68593,                0.74643,                 1.0568,                 1.0374,              0.0095248,              0.0095248,              0.0095248
                     39,                0.81871,                0.79322,                 1.0438,                0.86427,                0.79719,                0.87948,                0.72976,                0.68786,                0.80002,                 1.0162,              0.0095116,              0.0095116,              0.0095116
                     40,                0.81866,                0.78388,                  1.061,                0.92426,                0.81628,                0.90741,                0.76983,                 0.6455,                0.78522,                0.98416,              0.0094984,              0.0094984,              0.0094984
                     41,                0.81487,                   0.79,                   1.05,                0.90161,                 0.8715,                0.92863,                0.77458,                0.65899,                0.70257,                0.98547,              0.0094852,              0.0094852,              0.0094852
                     42,                0.79202,                0.76601,                 1.0416,                0.84436,                 0.8661,                 0.9069,                0.76356,                0.65998,                0.73313,                0.98269,               0.009472,               0.009472,               0.009472
                     43,                0.82093,                0.77915,                 1.0408,                  0.851,                0.84531,                0.90006,                0.72191,                0.77336,                0.75592,                 1.0312,              0.0094588,              0.0094588,              0.0094588
                     44,                0.82386,                0.77482,                 1.0515,                0.86712,                0.73065,                0.87109,                0.70954,                0.73716,                0.79007,                 1.0155,              0.0094456,              0.0094456,              0.0094456
                     45,                0.81034,                0.75908,                 1.0525,                0.90754,                0.82079,                0.91447,                0.76054,                0.68001,                0.68498,                 1.0043,              0.0094324,              0.0094324,              0.0094324
                     46,                0.77094,                0.73136,                 1.0363,                0.93942,                0.82806,                0.92374,                0.78026,                0.64823,                0.61059,                0.97044,              0.0094192,              0.0094192,              0.0094192
                     47,                0.77475,                0.73907,                 1.0281,                 0.9063,                0.81948,                0.91293,                0.76479,                0.64635,                0.67909,                0.98463,               0.009406,               0.009406,               0.009406
                     48,                0.76975,                0.72767,                 1.0296,                0.88319,                0.84179,                0.91049,                0.77497,                 0.6276,                0.74906,                0.97138,              0.0093928,              0.0093928,              0.0093928
