                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1627,                 3.8919,                 1.2339,                0.00819,                0.47059,                0.03298,                0.02541,                0.63389,                 3.7317,                0.92517,                  6e-05,                  6e-05,                  6e-05
                      2,                0.94776,                 3.5222,                 1.0788,                0.01592,                0.85034,                0.15608,                0.11605,                0.69109,                 3.4612,                0.89494,             0.00012974,             0.00012974,             0.00012974
                      3,                0.94725,                 2.8982,                  1.049,                0.48416,                0.05823,                0.20147,                0.15128,                0.73043,                 3.0614,                0.89923,             0.00019921,             0.00019921,             0.00019921
                      4,                0.90707,                 2.3744,                 1.0599,                0.01819,                0.90473,                0.29933,                0.23951,                0.70881,                 2.9763,                0.90523,              0.0002684,              0.0002684,              0.0002684
                      5,                0.91292,                 2.0274,                 1.0649,                0.78291,                0.03899,                0.29708,                0.23412,                0.74011,                 3.1328,                0.95768,             0.00033731,             0.00033731,             0.00033731
                      6,                0.87987,                 1.7466,                 1.0614,                 0.8326,                0.12364,                 0.3894,                0.29486,                0.74782,                 2.9915,                0.96673,             0.00040594,             0.00040594,             0.00040594
                      7,                 0.8394,                   1.56,                 1.0348,                0.84099,                 0.0738,                0.35652,                0.28793,                0.74684,                 3.1042,                0.96748,              0.0004743,              0.0004743,              0.0004743
                      8,                0.80554,                 1.3718,                 1.0145,                 0.8791,                0.13979,                0.49639,                 0.4063,                0.74226,                 2.9038,                0.95935,             0.00054238,             0.00054238,             0.00054238
                      9,                 0.8101,                  1.277,                 1.0118,                0.76627,                0.16485,                0.48677,                0.38623,                0.72885,                 2.8239,                 0.9468,             0.00061018,             0.00061018,             0.00061018
                     10,                0.79778,                 1.2096,                 1.0048,                0.73602,                0.36215,                0.61927,                0.52223,                0.70028,                 2.4448,                0.92366,              0.0006777,              0.0006777,              0.0006777
                     11,                0.78353,                 1.1214,                0.98854,                0.87096,                 0.4055,                0.65232,                 0.5508,                 0.6833,                 2.2675,                0.91099,             0.00074495,             0.00074495,             0.00074495
                     12,                0.78602,                 1.0677,                0.99012,                0.90518,                0.42743,                 0.6958,                0.56752,                0.74192,                  2.346,                0.95278,             0.00081192,             0.00081192,             0.00081192
                     13,                 0.7589,                 1.0148,                0.97824,                0.73773,                0.53878,                0.66683,                0.52783,                 0.8169,                 2.0042,                 1.0004,             0.00087862,             0.00087862,             0.00087862
                     14,                0.78513,                 1.0276,                 0.9933,                0.72164,                0.66096,                0.74196,                0.58528,                0.80595,                 1.6507,                0.97213,             0.00094503,             0.00094503,             0.00094503
                     15,                0.79061,                0.98825,                0.99552,                0.77084,                0.63346,                0.73942,                0.58973,                0.75918,                 1.7897,                0.94781,             0.00097228,             0.00097228,             0.00097228
                     16,                0.76611,                0.94211,                0.97781,                 0.7564,                0.60456,                0.75785,                0.62651,                 0.7525,                 1.8347,                0.97649,             0.00097228,             0.00097228,             0.00097228
                     17,                0.73932,                0.91775,                0.98271,                0.84353,                0.63584,                0.80278,                0.66598,                0.73501,                 1.6257,                0.95969,              0.0009703,              0.0009703,              0.0009703
                     18,                0.72897,                0.86742,                0.97301,                0.83527,                0.69304,                0.84756,                0.70224,                0.72716,                 1.6967,                0.93936,             0.00096832,             0.00096832,             0.00096832
                     19,                0.74871,                0.87308,                0.98256,                 0.8115,                0.63658,                0.82754,                0.68419,                0.68761,                 1.7591,                0.94027,             0.00096634,             0.00096634,             0.00096634
                     20,                0.72494,                0.84258,                0.97066,                0.85891,                0.77558,                0.88383,                 0.7389,                0.65811,                 1.0816,                0.92813,             0.00096436,             0.00096436,             0.00096436
